nActionDay,nTime,nPrice,nVolume
20200226,93100690,4670000,200
20200226,93100690,4670000,200
20200226,93100690,4670000,200
20200226,93100810,4670000,100
20200226,93100810,4670000,300
20200226,93101220,4660700,100
20200226,93101220,4660700,100
20200226,93101220,4660700,100
20200226,93101220,4660600,200
20200226,93102470,4660800,100
20200226,93102570,4660800,100
20200226,93103010,4670000,100
20200226,93103870,4664300,200
20200226,93104250,4664300,200
20200226,93105850,4674500,100
20200226,93106020,4674500,100
20200226,93106020,4664300,100
20200226,93106040,4664300,100
20200226,93106040,4664300,100
20200226,93106040,4664300,200
20200226,93106040,4664300,100
20200226,93106050,4664300,100
20200226,93106050,4664300,100
20200226,93106180,4660800,500
20200226,93106180,4660700,100
20200226,93106180,4660600,200
20200226,93106180,4660600,100
20200226,93106210,4674400,100
20200226,93106210,4674400,100
20200226,93106820,4660900,100
20200226,93106820,4660800,100
20200226,93106820,4660600,100
20200226,93106820,4660600,100
20200226,93107080,4660500,100
20200226,93107250,4660200,100
20200226,93107250,4660200,100
20200226,93107250,4660000,100
20200226,93107250,4660000,400
20200226,93107260,4660000,100
20200226,93107260,4660000,100
20200226,93107260,4660000,300
20200226,93107260,4660000,100
20200226,93107260,4660000,100
20200226,93107260,4660000,100
20200226,93107350,4660000,100
20200226,93107500,4660000,192
20200226,93107500,4660000,8
20200226,93107500,4660000,92
20200226,93107500,4660000,8
20200226,93107500,4660000,92
20200226,93107500,4660000,8
20200226,93107560,4660100,100
20200226,93107570,4660000,92
20200226,93107570,4660000,100
20200226,93107570,4660000,100
20200226,93107570,4660000,100
20200226,93107570,4660000,8
20200226,93107850,4660100,200
20200226,93107850,4660100,100
20200226,93107850,4660100,100
20200226,93107850,4660600,100
20200226,93107850,4660700,100
20200226,93108020,4674400,100
20200226,93108020,4660000,100
20200226,93108040,4660000,100
20200226,93108240,4674400,100
20200226,93108240,4674400,100
20200226,93109130,4661000,100
20200226,93109130,4660900,100
20200226,93109140,4660000,100
20200226,93109350,4660900,100
20200226,93109350,4660000,200
20200226,93109610,4660000,492
20200226,93109610,4660000,100
20200226,93109610,4660000,8
20200226,93109660,4660000,92
20200226,93109660,4660000,8
20200226,93109690,4660000,92
20200226,93109690,4660000,8
20200226,93109740,4661000,100
20200226,93109750,4660000,192
20200226,93109750,4660000,108
20200226,93109790,4661900,100
20200226,93109820,4661800,100
20200226,93109820,4661800,100
20200226,93109820,4661800,100
20200226,93109820,4661800,100
20200226,93109850,4660000,92
20200226,93109850,4660000,8
20200226,93110220,4660000,92
20200226,93110220,4660000,100
20200226,93110220,4660000,8
20200226,93110350,4664300,100
